name,brewery name,style,abv,hops,ibu,location,description
Iti,Tuatara ,,3.3,,38,CZ22,Aromas of mango and citrus with a balanced resinous finish.
Taco Beer,Two Birds Brewing,,5.2,,28,NZPB,"Hoppy wheat ale with corn, coriander leaf & lime peel"
Isis Rising,Valkyrie Brewing Co,,5.5,,16,NZPB,"Traditionally cloudy witbier featuring honey, oats, chamomile and heather."
Rauch Alici - Smoked Anchovy Porter (Yeastie Boys/Magic Rock/Birra del Borgo collaboration),Wheaty Brewing Corps,,5.5,,42,HZAB,"Smoky, salty, malty. Hint of fish."
"Fug Oats, This is Point of Difference - Oat Pale (Yeastie Boys/Sixpoint/To Øl collaboration)",Wheaty Brewing Corps,,5.8,,52,HZAB,"Oaty, piney, smooth. Unique Selling Point."
Manuka Helles,Widmer Brothers Brewing,,5.3,,40,NZPO,"Clean, refreshing lager. Hoppy, sweet finish."
The Original American Hefeweizen,Widmer Brothers Brewing,,4.9,,26,NZPO,Light citrus aroma.  Crisp and refreshing.
Upheaval IPA,Widmer Brothers Brewing,,7,,85,NZPO,"Assertive bitterness with tropical fruit notes. Citrus, berry, resiny hop."
Barrel- Aged Brrrbon '12,Widmer Brothers Brewing,,9.5,,40,NZPO,"Wood and Vanilla notes with dry, hoppy finish."
Old Embalmer Barleywine '13,Widmer Brothers Brewing,,10.2,,75,NZPO,"Notes of toffee, vanilla and sweet caramel. Big, hoppy character."
Rasberry Russian Imperial Stout,Widmer Brothers Brewing,,9.3,,70,NZPO,Slight fruit tartness with a smooth mouthfeel.
Basilisk Spiced Berliner Weisse,Wild and Woolly Brewing,,2.7,,5,HZFB,"Tart wheat beer with kaffir lime, lemon zest and basil"
Gunnamatta,Yeastie Boys,,6.5,,,CZ14,"Boldly floral nose, with stonefruit and citrus flavours"
Mini 'Matta,Yeastie Boys,,4,,,CZ14,"A tea-ny tiny session IPA. We slashed the booze, halved the tea and doubled the puns"
White Noise,Yeastie Boys,,4.2,,,CZ14,"A quaffable cloudy white ale. Coconut aroma, spicy and bready grains from wheat. "
The Paw Paw Blowtorch,Yeastie Boys,,4.5,,,CZ14,"Mild smoky, fruity chipotle cockle- warmer"
The Sly Persuader,Yeastie Boys,,6,,,CZ14,"Blond Ale. Floral aroma, orange and apricot flavours, and a hint of clove in the dry finish"
Stairdancer,Yeastie Boys,,6.8,,,CZ14,Chuck Norris meets Van Gogh for beers
Hop Ale,Young Henry's,,6,,32,HZAB,UK IPA. Well Hopped Malt Driven Ale
Newtowner,Young Henry's,,4.8,,28,HZAB,"Golden Ale. Golden, with a dry chalky finish"
Mega Wega White Thing,Young Henry's,,6.9,,34,HZAB,White Stout. Strong White Pale Ale finished with Wai-iti Hops
Dunkelweizen,Zeelandt Brewery,,5.1,,12,HZFB,"Dark Bavarian wheat beer. Classic banana aroma, chocolate & caramel on the palate"
Farmhouse Funk,Zeffer Cider,,7,,,HZFB,"Cloudy Funky West Country: brett, oak, cheese, straw, silage"
Media Brew,Epic Brewing Co,,7.5,,50,HZMB,"Radio Hauraki: The Hauraki Breakfast with Matt, Jeremy & Laura – Matt Heath. Golden West Coast sunset. Rainforest, smoke, driftwood, piratey, herbaceous"
Lime & Horopito Gose,GOOD George Brewing,,5.5,,10,HZMB,"Toast! – Kerri Jackson. Our modern interpretation of the Gose style. Sour, sea salt, lime zest & juice, horopito, refreshing"
Raspberry Lamington  Wheat Beer,Monteiths Brewing Company,,5,,12,HZMB,Dompost Beerhive Blog – Shane Cowlishaw & Michael Forbes. Brewed with fresh spring water and a hint of raspberries
Kawa Chameleon,Cassels & Sons Brewery,,5,,20,HZMB,"APN Regional Newspapers  - Yvonne Lorkin. Rich malt character. Distinctive Kawa leaf flavour, spicy"
Imperial At- At Pilsner,Kereru Brewing Company,,11,,70,HZMB,Beer & Brewer Magazine – Neil Miller. The force is strong with this one. Hops and Wheatbix.
Koanga Saison,Tuatara,,5.7,,25,HZMB,"Manawatu Evening Standard – Jono Galuszka. Spicy, peppery, aniseed aroma. Smoky rye belgium saison."
NZ Wild Ale with Horopito,Hallertau Brewery,,5.8,,,HZMB,"Dish Magazine – Victoria Wells. Aromas of fresh silage, a little creamy and a lot tart"
Strawbeery Fields,Brothers Beer,,5,,,HZMB,"Cuisine Magazine – Alice Neville & Fiona Smith. Fruity, minty, fresh, subtle strawberry, dry finish"
Mad Max,Emerson's Brewery,,7.3,,25,HZMB,"TV ONE – Max Bania. Smooth, rich, choclately, whisky"
J.A.F.A. Beer,Liberty Brewing Co,,8,,45,HZMB,"Metro Magazine – Simon Farrell-Green. Burned toffee, BBQ, bitter orange, dark chocolate, tropical citrus hops"
Lamb Chopper,Panhead Custom Ales,,6,,20,HZMB,Life & Leisure – Anna Tait-Jamieson. Fuel for Lambs
Mt Hutt Gingernut,Three Boys Brewery,,6,,30,HZMB,"The Press – Abbie Napier. Biscuity, floral tea flavour. Finishes dry with a peppery gingerness."
DogBone,ParrotDog ,,5.5,,20,HZMB,Fishhead Magazine – Hadyn Green. Brown ale with lamb bones added to the boil
Moa Mussels from Brussels Marlborough Stout ,Moa Brewing Company,,6,,45,HZMB,Marlborough Express & Manawatu Standard - Geoff Griggs. Briney shellfish characters with smoked mussel meet roast and belgian yeast
Briny Brown ,North End Brewery,,4.5,,20,HZMB,Word on the Street – Sarah Bennett & Lee Slater. A briny Brown Ale using smoked pipis 
Black Smoke,McCashin’s Brewery,,5.5,,24,HZMB,Herald on Sunday  - Don Kavanagh. Smoked dark beer with oak characteristics
Chambiere,Lakeman Brewing,,7.3,,,HZMB,Taupo Times – Kirsty Lawrence. Aroma of Strawberries and bush honey. Dry champagne style
Headland Best,Deep Creek Brewing Co.,,4.1,,30,HZMB,"Public Address - Russell Brown. Manuka, aniseed, orange blossom, citrus, malt toffee"
Farmhouse du Fru Ju,Fork Brewing,,5,,20,HZMB,"Lonely Planet website – Brett Atkinson. Pepper-Citrus Aromatics, Lemon and Spice  Flavours, Sessionable Dry Finish"
Manuka Helles,Widmer Brothers Brewing (USA),,5.3,,40,HZMB,"All About Beer (USA) – John Holl. Clean, refreshing lager. Hoppy, sweet finish"
Mega Wega White Thing,Young Henrys (Aust),,6.9,,,HZMB,The Shout (Aust) – James Atkinson. White Stout. Strong White Pale Ale finished with Wai-iti Hops
Forty Niner,Ninebarnyardowls,,4.6,,,HZFB,"California Common, ""a modern twist on a classic 19th century style"""
Devil's Ryethand,Emerson's Brewery,,5.7,,,CZ23,"Earthy, hoppy, spice, well rounded"
Hopped Inn Cider,Emerson's Brewery,,5,,,CZ23,"Crisp, hoppy, apple, refreshing"
Longboard,Tuatara,,5,,,CZ22, 
Helles Lager,Tuatara,,5,,,CZ22, 
